device_os,amt,trans_num,gender,city,job,category,age_category,transactions_count,unique_merchants_count,time_since_last,day_of_week_sin,day_of_week_cos,period_of_day_sin,period_of_day_cos
,133.51,TRANS_546379,M,Test City,Engineer,Travel,Middle Age,3,101,256326.0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
X11,169.33,TRANS_500722,M,Test City,Doctor,Electronics,Adult,1,101,100283.0,-0.433883739117558,-0.9009688679024191,0.0,1.0
,207.42,TRANS_149237,M,Los Angeles,Artist,Travel,Middle Age,1,101,0.0,0.0,1.0,0.0,1.0
Linux,331.23,TRANS_854491,M,Chicago,Doctor,Travel,Adult,1,101,892717.0,-0.433883739117558,-0.9009688679024191,0.0,1.0
,378.35,TRANS_712371,M,Chicago,Doctor,Groceries,Young Adult,1,101,3096659.0,0.0,1.0,0.0,1.0
X11,183.97,TRANS_721814,F,Los Angeles,Lawyer,Electronics,Young Adult,1,101,11037881.0,0.0,1.0,1.2246467991473532e-16,-1.0
Windows,295.12,TRANS_104390,F,Test City,Clerk,Electronics,Young Adult,2,101,22035.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
,371.36,TRANS_100126,M,Phoenix,Lawyer,Groceries,Young Adult,1,101,2281679.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
other,34.26,TRANS_448242,F,Los Angeles,Clerk,Electronics,Middle Age,2,101,7470597.0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
,128.04,TRANS_995863,F,Test City,Teacher,Entertainment,Middle Age,1,101,360151.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
other,36.65,TRANS_442628,F,Test City,Clerk,Groceries,Young Adult,2,101,419497.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
,357.28,TRANS_207688,F,Test City,Doctor,Electronics,Adult,2,101,73514.0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0
other,106.42,TRANS_943753,M,Houston,Lawyer,Travel,Young Adult,1,101,0.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
,166.63,TRANS_447617,F,Test City,Doctor,Travel,Adult,6,101,431713.0,0.0,1.0,1.0,6.123233995736766e-17
Windows,421.25,TRANS_506530,M,Houston,Engineer,Groceries,Middle Age,1,101,3421405.0,0.7818314824680298,0.6234898018587336,0.0,1.0
other,186.23,TRANS_939010,M,Test City,Lawyer,Entertainment,Middle Age,2,101,85626.0,-0.433883739117558,-0.9009688679024191,0.0,1.0
,202.61,TRANS_939562,M,Test City,Doctor,Groceries,Middle Age,2,101,315875.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
,425.75,TRANS_578819,M,Phoenix,Clerk,Electronics,Adult,2,101,2011537.0,0.43388373911755823,-0.900968867902419,0.0,1.0
other,399.01,TRANS_948846,F,Test City,Clerk,Electronics,Adult,2,101,12825.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16
macOS,71.95,TRANS_651429,F,Chicago,Artist,Travel,Young Adult,1,101,1451039.0,-0.433883739117558,-0.9009688679024191,0.0,1.0
,358.2,TRANS_902315,F,Los Angeles,Teacher,Entertainment,Middle Age,1,101,0.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
Windows,102.41,TRANS_725023,F,Phoenix,Engineer,Apparel,Young Adult,1,101,603817.0,0.9749279121818236,-0.22252093395631434,0.0,1.0
,472.2,TRANS_325291,F,Test City,Lawyer,Electronics,Middle Age,6,101,74723.0,0.0,1.0,1.2246467991473532e-16,-1.0
,151.68,TRANS_628036,M,Test City,Lawyer,Apparel,Young Adult,2,101,272556.0,0.43388373911755823,-0.900968867902419,0.0,1.0
macOS,232.08,TRANS_161788,M,Test City,Engineer,Electronics,Middle Age,1,101,496006.0,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16
Linux,396.21,TRANS_783318,M,Chicago,Clerk,Entertainment,Young Adult,1,101,449460.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
Windows,81.21,TRANS_830877,F,Test City,Doctor,Electronics,Adult,3,101,103153.0,0.0,1.0,1.2246467991473532e-16,-1.0
,93.53,TRANS_839123,M,Test City,Teacher,Entertainment,Young Adult,2,101,9708.0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
,145.85,TRANS_169486,F,Phoenix,Lawyer,Apparel,Young Adult,1,101,6879510.0,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16
,414.31,TRANS_485385,M,Test City,Lawyer,Groceries,Middle Age,1,101,237372.0,0.43388373911755823,-0.900968867902419,0.0,1.0
macOS,480.51,TRANS_864758,M,Test City,Teacher,Entertainment,Young Adult,3,101,122999.0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
Windows,351.38,TRANS_283402,F,Los Angeles,Artist,Apparel,Middle Age,1,101,691673.0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
X11,267.26,TRANS_582415,F,Houston,Lawyer,Electronics,Young Adult,1,101,0.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
X11,347.06,TRANS_781735,M,New York,Lawyer,Groceries,Adult,1,101,984466.0,-0.433883739117558,-0.9009688679024191,0.0,1.0
,272.76,TRANS_375801,F,Test City,Lawyer,Travel,Young Adult,1,101,124332.0,0.43388373911755823,-0.900968867902419,0.0,1.0
,118.47,TRANS_618224,F,Test City,Teacher,Entertainment,Middle Age,3,101,210289.0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16
,486.17,TRANS_151329,M,Test City,Clerk,Entertainment,Young Adult,1,101,133706.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
Windows,122.63,TRANS_484650,F,Test City,Doctor,Travel,Middle Age,2,101,24285.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16
,13.4,TRANS_137484,F,Test City,Doctor,Entertainment,Middle Age,2,101,173263.0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0
,9.39,TRANS_800933,F,Test City,Lawyer,Entertainment,Middle Age,4,101,44886.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
,370.86,TRANS_406734,F,Test City,Engineer,Groceries,Middle Age,3,101,97909.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16
other,9.6,TRANS_590291,M,Test City,Doctor,Apparel,Middle Age,3,101,319647.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
,170.28,TRANS_882569,F,Houston,Clerk,Groceries,Adult,1,101,4285759.0,0.43388373911755823,-0.900968867902419,0.0,1.0
macOS,400.09,TRANS_196914,M,Test City,Engineer,Electronics,Middle Age,1,101,2804.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
,136.95,TRANS_382658,M,Test City,Lawyer,Electronics,Middle Age,1,101,80627.0,0.7818314824680298,0.6234898018587336,0.0,1.0
,203.05,TRANS_282068,F,Los Angeles,,Groceries,Adult,1,101,2979846.0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
X11,292.79,TRANS_107728,F,Chicago,Clerk,Groceries,Middle Age,1,99,1358857.0,0.9749279121818236,-0.22252093395631434,0.0,1.0
X11,298.86,TRANS_193354,F,Chicago,Engineer,Entertainment,Young Adult,1,101,7208702.0,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16
,313.12,TRANS_660301,M,Test City,Teacher,Groceries,Adult,3,101,15535.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16
,187.24,TRANS_529961,F,Test City,Teacher,Apparel,Adult,1,101,298701.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
,299.52,TRANS_363896,M,Test City,Teacher,Groceries,Young Adult,2,101,193863.0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0
,134.04,TRANS_613495,M,Test City,Lawyer,Travel,Middle Age,1,101,109489.0,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16
,439.76,TRANS_821143,M,Test City,Teacher,Travel,Young Adult,1,101,539322.0,-0.7818314824680299,0.6234898018587334,0.0,1.0
,155.01,TRANS_972021,F,Houston,Teacher,Electronics,Middle Age,1,101,495493.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
other,104.12,TRANS_290147,F,Test City,Doctor,Electronics,Young Adult,2,101,131609.0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
,269.43,TRANS_150690,M,Test City,Doctor,Travel,Young Adult,1,101,124884.0,0.43388373911755823,-0.900968867902419,0.0,1.0
,363.26,TRANS_865708,M,Los Angeles,Engineer,Electronics,Middle Age,1,101,1076521.0,0.7818314824680298,0.6234898018587336,0.0,1.0
,16.18,TRANS_511386,M,New York,Doctor,Travel,Middle Age,1,100,542592.0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
,50.54,TRANS_553416,M,Test City,Engineer,Electronics,Young Adult,4,101,75580.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16
Windows,153.35,TRANS_583361,F,Test City,Teacher,Entertainment,Middle Age,3,101,117898.0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16
,289.82,TRANS_979316,F,Phoenix,Teacher,Travel,Adult,1,101,2908461.0,0.0,1.0,-1.0,-1.8369701987210297e-16
other,438.0,TRANS_673000,M,Test City,Engineer,Electronics,Middle Age,2,101,206393.0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0
,149.26,TRANS_531498,M,Chicago,Lawyer,Electronics,Middle Age,1,101,1329722.0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0
macOS,97.76,TRANS_180091,M,Test City,Teacher,Apparel,Young Adult,1,101,115330.0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
other,59.07,TRANS_827557,F,Test City,Clerk,Groceries,Young Adult,2,101,179721.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
macOS,342.25,TRANS_135001,F,Los Angeles,Teacher,Electronics,Adult,1,101,1671774.0,-0.7818314824680299,0.6234898018587334,0.0,1.0
macOS,65.91,TRANS_374424,M,Chicago,Lawyer,Electronics,Adult,1,101,63937.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
,296.16,TRANS_413997,M,Test City,Clerk,Apparel,Adult,1,101,280237.0,0.43388373911755823,-0.900968867902419,0.0,1.0
,71.19,TRANS_271441,M,Los Angeles,,Entertainment,Adult,1,101,181926.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
,223.09,TRANS_699745,M,Test City,Teacher,Travel,Middle Age,5,101,149392.0,0.0,1.0,0.0,1.0
,249.08,TRANS_666280,M,Phoenix,,Groceries,Adult,1,101,3039506.0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
macOS,406.32,TRANS_857119,F,Test City,Lawyer,Apparel,Young Adult,2,101,83254.0,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16
,202.7,TRANS_195341,F,Test City,Teacher,Electronics,Middle Age,2,101,161794.0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
other,183.86,TRANS_685079,F,Houston,Teacher,Entertainment,Adult,1,101,0.0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
,118.89,TRANS_689569,F,Test City,Lawyer,,Middle Age,2,101,287372.0,0.7818314824680298,0.6234898018587336,0.0,1.0
other,242.13,TRANS_755236,M,Chicago,,Electronics,Young Adult,1,101,2556926.0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
,233.04,TRANS_211650,M,Los Angeles,Artist,Travel,Adult,1,101,5321143.0,0.0,1.0,1.2246467991473532e-16,-1.0
,106.12,TRANS_825879,F,Test City,Clerk,Electronics,Adult,2,101,75942.0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
Windows,171.99,TRANS_474770,M,Test City,Doctor,Groceries,Adult,2,101,104626.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
macOS,225.75,TRANS_210286,M,Test City,Engineer,Travel,Middle Age,1,101,117781.0,-0.7818314824680299,0.6234898018587334,0.0,1.0
,33.12,TRANS_393794,M,Test City,Doctor,Travel,Middle Age,2,101,61944.0,0.0,1.0,1.0,6.123233995736766e-17
macOS,303.61,TRANS_651915,M,Test City,Engineer,Groceries,Adult,3,101,26431.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
,258.28,TRANS_488452,M,Test City,Clerk,Travel,Young Adult,1,101,34716.0,0.43388373911755823,-0.900968867902419,0.0,1.0
,430.67,TRANS_468045,F,Houston,Clerk,Groceries,Adult,1,101,5077311.0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
X11,409.78,TRANS_817696,M,Phoenix,Teacher,Groceries,Young Adult,1,101,3666725.0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
,390.49,TRANS_441696,M,Test City,Doctor,Apparel,Adult,2,101,686513.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
,290.22,TRANS_839753,M,Test City,Doctor,Groceries,Young Adult,2,101,29510.0,0.9749279121818236,-0.22252093395631434,0.0,1.0
macOS,338.63,TRANS_618410,M,Chicago,Doctor,Groceries,Adult,1,101,4413704.0,0.0,1.0,0.0,1.0
,166.45,TRANS_806338,F,New York,Doctor,Apparel,Adult,1,101,12451822.0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
Windows,52.66,TRANS_974520,M,Test City,Engineer,Electronics,Young Adult,1,101,30074.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
,394.47,TRANS_782904,M,Test City,Teacher,Electronics,Middle Age,2,101,158343.0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
,114.55,TRANS_919111,F,Test City,Doctor,Travel,Middle Age,1,101,276703.0,0.43388373911755823,-0.900968867902419,0.0,1.0
X11,219.3,TRANS_994308,F,Test City,Teacher,Electronics,Young Adult,3,101,267472.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
,,TRANS_919085,F,Houston,Clerk,Travel,Middle Age,1,101,925215.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
macOS,61.88,TRANS_269626,F,Test City,Doctor,Electronics,Middle Age,3,101,40960.0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
Windows,178.25,TRANS_957648,F,Test City,Engineer,Electronics,Adult,2,101,40713.0,-0.433883739117558,-0.9009688679024191,0.0,1.0
other,285.68,TRANS_314436,M,Test City,Doctor,Groceries,Adult,2,101,253568.0,0.0,1.0,1.2246467991473532e-16,-1.0
other,55.94,TRANS_154270,F,Test City,Lawyer,Groceries,Young Adult,2,101,52341.0,0.7818314824680298,0.6234898018587336,0.0,1.0
,472.91,TRANS_154558,M,Test City,Engineer,Groceries,Middle Age,2,101,21964.0,0.0,1.0,1.2246467991473532e-16,-1.0
,262.63,TRANS_438825,F,Test City,Clerk,Travel,Young Adult,2,101,206588.0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0
Windows,224.14,TRANS_905848,F,Test City,Lawyer,Travel,Adult,4,101,96438.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
Linux,386.53,TRANS_700575,M,Test City,Lawyer,Entertainment,Young Adult,1,101,398754.0,0.43388373911755823,-0.900968867902419,0.0,1.0
,368.1,TRANS_254733,M,Houston,Teacher,Groceries,Middle Age,1,101,291308.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
,300.75,TRANS_725361,F,Test City,Engineer,Electronics,Middle Age,1,101,37819.0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0
